,Date,Opponents,Attendance,Year,month,month_name,Day
484,2015-03-22,Oldham,484,2015,3,March,Sunday
485,2015-03-29,Hunslet,1136,2015,3,March,Sunday
486,2015-04-12,Leigh,1454,2015,4,April,Sunday
487,2015-04-19,Hull,1620,2015,4,April,Sunday
488,2015-04-26,Halifax,1437,2015,4,April,Sunday
489,2015-05-08,Doncaster,863,2015,5,May,Friday
490,2015-05-19,Dewsbury,682,2015,5,May,Tuesday
491,2015-06-13,Whitehaven,503,2015,6,June,Saturday
492,2015-06-28,Workington,506,2015,6,June,Sunday
493,2015-07-12,Bradford,2153,2015,7,July,Sunday
494,2015-07-19,Featherstone,2443,2015,7,July,Sunday
495,2015-08-23,Halifax,854,2015,8,August,Sunday
496,2015-09-18,Hull KR,2017,2015,9,September,Friday
497,2015-09-27,Wakefield,1712,2015,9,September,Sunday
498,2016-02-12,Halifax,1350,2016,2,February,Friday
499,2016-02-26,Swinton,508,2016,2,February,Friday
500,2016-03-12,Whitehaven,502,2016,3,March,Saturday
501,2016-03-19,Swinton,412,2016,3,March,Saturday
502,2016-04-22,London,513,2016,4,April,Friday
503,2016-04-29,Dewsbury,441,2016,4,April,Friday
504,2016-05-14,Workington,494,2016,5,May,Saturday
505,2016-05-20,Bradford,995,2016,5,May,Friday
506,2016-06-10,Batley,651,2016,6,June,Friday
507,2016-06-24,Featherstone,817,2016,6,June,Friday
508,2016-07-01,Oldham,531,2016,7,July,Friday
509,2016-07-15,Leigh,774,2016,7,July,Friday
510,2016-08-14,Whitehaven,412,2016,8,August,Sunday
511,2016-08-21,Swinton,466,2016,8,August,Sunday
512,2016-09-04,Workington,380,2016,9,September,Sunday
513,2016-09-11,Dewsbury,564,2016,9,September,Sunday
514,2017-02-12,Toulouse,442,2017,2,February,Sunday
515,2017-02-26,Batley,662,2017,2,February,Sunday
516,2017-03-12,Featherstone,1017,2017,3,March,Sunday
517,2017-04-02,London B,319,2017,4,April,Sunday
518,2017-04-17,Dewsbury,482,2017,4,April,Monday
519,2017-05-07,Bradford,1437,2017,5,May,Sunday
520,2017-06-04,Rochdale,341,2017,6,June,Sunday
521,2017-06-11,Halifax,672,2017,6,June,Sunday
522,2017-06-25,Hull KR,1619,2017,6,June,Sunday
523,2017-07-02,Swinton,379,2017,7,July,Sunday
524,2017-07-16,Oldham,329,2017,7,July,Sunday
525,2017-08-06,Oldham,305,2017,8,August,Sunday
526,2017-08-20,Dewsbury,363,2017,8,August,Sunday
527,2017-09-03,Bradford,896,2017,9,September,Sunday
528,2017-09-10,Rochdale,297,2017,9,September,Sunday
529,2018-03-11,Toronto,863,2018,3,March,Sunday
530,2018-03-30,Rochdale,516,2018,3,March,Friday
531,2018-04-02,Batley,597,2018,4,April,Monday
532,2018-04-15,Leigh,982,2018,4,April,Sunday
533,2018-05-06,Halifax,891,2018,5,May,Sunday
534,2018-05-13,London B,517,2018,5,May,Sunday
535,2018-06-10,Swinton,872,2018,6,June,Sunday
536,2018-06-23,Featherstone,917,2018,6,June,Saturday
537,2018-07-01,Toulouse,458,2018,7,July,Sunday
538,2018-07-15,Dewsbury,425,2018,7,July,Sunday
539,2018-07-22,Barrow,702,2018,7,July,Sunday
540,2018-08-31,Dewsbury,638,2018,8,August,Friday
541,2018-09-07,Featherstone,689,2018,9,September,Friday
542,2018-09-23,Barrow,404,2018,9,September,Sunday
543,2018-09-30,Rochdale,789,2018,9,September,Sunday
544,2019-02-03,Swinton,1259,2019,2,February,Sunday
545,2019-02-15,Bradford,1711,2019,2,February,Friday
546,2019-03-01,Batley,791,2019,3,March,Friday
547,2019-03-31,Leigh,596,2019,3,March,Sunday
548,2019-04-19,Toulouse,729,2019,4,April,Friday
549,2019-04-28,Halifax,966,2019,4,April,Sunday
550,2019-05-24,Toronto,932,2019,5,May,Friday
551,2019-06-09,Featherstone,1321,2019,6,June,Sunday
552,2019-06-21,Rochdale,543,2019,6,June,Friday
553,2019-06-30,Leigh,1082,2019,6,June,Sunday
554,2019-07-05,York,793,2019,7,July,Friday
555,2019-07-12,Dewsbury,691,2019,7,July,Friday
556,2019-07-28,Batley,727,2019,7,July,Sunday
557,2019-08-02,Widnes,772,2019,8,August,Friday
558,2019-08-18,Barrow,677,2019,8,August,Sunday
559,2020-02-16,Toulouse,618,2020,2,February,Sunday
560,2020-02-22,Halifax,429,2020,2,February,Saturday
561,2020-03-15,Workington,323,2020,3,March,Sunday
562,2021-03-19,York,0,2021,3,March,Friday
563,2021-04-04,Bradford,0,2021,4,April,Sunday
564,2021-05-01,London,0,2021,5,May,Saturday
565,2021-05-07,Batley,0,2021,5,May,Friday
566,2021-05-23,Featherstone,620,2021,5,May,Sunday
567,2021-05-30,Whitehaven,343,2021,5,May,Sunday
568,2021-06-27,Toulouse,319,2021,6,June,Sunday
569,2021-07-25,Halifax,775,2021,7,July,Sunday
570,2021-08-15,Oldham,372,2021,8,August,Sunday
571,2021-09-05,Dewsbury,432,2021,9,September,Sunday
572,2021-09-12,Swinton,430,2021,9,September,Sunday
573,2022-03-26,Hull,1039,2022,3,March,Saturday
574,2022-04-09,Whitehaven,150,2022,4,April,Saturday
575,2022-04-16,London,943,2022,4,April,Saturday
576,2022-04-22,Newcastle,385,2022,4,April,Friday
577,2022-05-23,Widnes,795,2022,5,May,Monday
578,2022-06-02,York,786,2022,6,June,Thursday
579,2022-06-12,Bradford,799,2022,6,June,Sunday
580,2022-06-24,Leigh,758,2022,6,June,Friday
581,2022-07-08,Batley,678,2022,7,July,Friday
582,2022-07-17,Barrow,621,2022,7,July,Sunday
583,2022-07-24,Workington,644,2022,7,July,Sunday
584,2022-08-07,Whitehaven,727,2022,8,August,Sunday
585,2022-08-12,Halifax,569,2022,8,August,Friday
586,2022-09-02,Featherstone,912,2022,9,September,Friday
587,2022-09-14,Dewsbury,604,2022,9,September,Wednesday
