Date,Opponents,Attendance
20/04/1997,Leeds,5332
11/05/1997,Oldham,4000
23/05/1997,Halifax,3000
15/06/1997,Perth,2065
20/06/1997,Hunter,2350
02/07/1997,St Helens,3200
13/07/1997,London,3150
10/08/1997,Wigan,3250
16/08/1997,Bradford,10603
25/08/1997,Salford,2943
05/09/1997,Warrington,2500
01/03/1998,Egremont,1100
05/04/1998,Hull,4511
17/04/1998,Bradford,4678
09/05/1998,Wigan,7365
23/05/1998,Leeds,6283
30/05/1998,Halifax,3811
20/06/1998,St Helens,3675
03/07/1998,Castleford,3151
17/07/1998,Halifax,3087
07/08/1998,Huddersfield,2550
21/08/1998,Salford,2571
11/09/1998,London,2420
18/09/1998,Warrington,3083
20/03/1999,London,3269
02/04/1999,Huddersfield,3621
11/04/1999,Leeds,5101
25/04/1999,Wakefield,4387
08/05/1999,Halifax,3901
22/05/1999,Salford,3100
05/06/1999,Bradford,4801
26/06/1999,Hull,3449
29/06/1999,Gateshead,2319
10/07/1999,St Helens,4487
21/07/1999,Wigan,3526
24/07/1999,Warrington,2614
07/08/1999,Castleford,3750
28/08/1999,London,2024
04/09/1999,Huddersfield,3500
16/01/2000,Batley,1612
25/01/2000,Hunslet,1278
30/01/2000,Thornhill,1100
05/03/2000,Doncaster,2732
26/03/2000,Workington,1177
02/04/2000,Oldham,1220
21/04/2000,Lancashire,1177
01/05/2000,Whitehaven,1098
07/05/2000,Rochdale,1055
14/05/2000,York,1038
26/05/2000,Hull KR,1021
29/05/2000,Featherstone,1359
04/06/2000,Dewsbury,1478
18/06/2000,Keighley,1424
25/06/2000,Barrow,1188
03/12/2000,Batley,1429
07/01/2001,Keighley,1642
24/01/2001,Gateshead,753
28/01/2001,East Leeds,778
31/01/2001,Dewsbury,862
04/02/2001,Hull KR,1081
04/03/2001,Barrow,838
11/03/2001,Widnes,1560
31/03/2001,Chorley,870
13/04/2001,Doncaster,1632
29/04/2001,Leigh,1614
13/05/2001,Featherstone,1296
20/05/2001,Hunslet,1154
03/06/2001,York,1008
24/06/2001,Workington,1259
09/12/2001,Gateshead,1203
23/12/2001,Doncaster,1716
13/01/2002,Keighley,1489
26/01/2002,Leigh East,539
03/02/2002,Barrow,1091
10/02/2002,Wakefield,1972
03/03/2002,Hunslet,1058
15/03/2002,Oldham,1095
12/04/2002,Gateshead,835
21/04/2002,Keighley,862
05/05/2002,Featherstone,1074
24/05/2002,Chorley,629
02/06/2002,Rochdale,910
14/07/2002,Workington,1071
26/07/2002,Batley,1110
18/08/2002,Dewsbury,843
25/08/2002,Swinton,751
08/09/2002,Huddersfield,1405
20/09/2002,Swinton,425
28/09/2002,Barrow,572
09/02/2003,Keighley,1235
16/02/2003,Doncaster,1053
02/03/2003,Hull,11729
05/03/2003,Batley,732
09/03/2003,York,730
21/03/2003,Featherstone,856
06/04/2003,Hull KR,1150
21/04/2003,York,897
09/05/2003,Swinton,903
01/06/2003,Chorley,747
22/06/2003,Keighley,1126
29/06/2003,Gateshead,1022
20/07/2003,Barrow,1037
03/08/2003,Skolars,854
10/08/2003,Hunslet,1002
06/09/2003,Workington,1011
21/09/2003,Chorley,732
11/02/2004,Doncaster,945
15/02/2004,Dewsbury,867
22/02/2004,Skolars,662
29/02/2004,York,764
19/03/2004,Hull KR,1049
21/05/2004,Dewsbury,1352
06/06/2004,Workington,979
20/06/2004,Barrow,977
04/07/2004,Swinton,957
11/07/2004,Chorley,852
23/07/2004,York,1018
01/08/2004,Gateshead,744
22/08/2004,Hunslet,870
12/09/2004,Skolars,825
19/09/2004,Hunslet,531
11/02/2005,Dewsbury,959
04/03/2005,Batley,875
25/03/2005,Doncaster,1003
08/04/2005,Blackpool,727
22/04/2005,Keighley,804
20/05/2005,Gateshead,664
11/06/2005,Workington,650
22/07/2005,Hunslet,846
05/08/2005,Dewsbury,884
29/08/2005,Skolars,764
02/09/2005,Swinton,806
09/09/2005,York,1154
17/02/2006,York,1145
24/02/2006,Hull KR,1347
19/03/2006,Featherstone,769
07/04/2006,Keighley,798
17/04/2006,Celtic,981
28/04/2006,Workington,756
12/05/2006,Gateshead,707
26/05/2006,Hunslet,775
09/06/2006,Barrow,882
23/06/2006,Featherstone,935
21/07/2006,Skolars,729
28/07/2006,Swinton,830
11/08/2006,Dewsbury,1186
01/09/2006,Blackpool,783
22/09/2006,Celtic,760
16/02/2007,Doncaster,1043
16/03/2007,Castleford,1897
23/03/2007,Featherstone,1196
06/04/2007,Doncaster,1142
13/04/2007,Widnes,1211
18/05/2007,Dewsbury,881
07/06/2007,Rochdale,1463
15/06/2007,Castleford,1333
20/07/2007,Leigh,870
27/07/2007,Batley,916
31/08/2007,Halifax,1009
