,Are you:,When did you first attend a Sheffield Eagles game?,Would you class yourself as:,Are You? ,How old are you? ,How would you describe yourself,Postcode,Latitude,Longitude
49,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1991 - 2000,Used to attend games when lived in Sheffield. Hopefully start attending games again in 2022. ,Female,16-25,White,BD4,53.7763732288401,-1.71858455799373
50,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who attends games home or away on a regular basis,Male,25-39,White,LS6,53.8200829378531,-1.57075756045198
51,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1991 - 2000,Someone who occasionally attends home games,Male,25-39,White,DN11,53.4486959042944,-1.08189314969325
52,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who attends games home or away on a regular basis,Male,60-69,White,S9,53.3981479577465,-1.41769494366197
53,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,Male,50-59,White,S20,53.3345935078864,-1.35222000630915
54,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who attends games home or away on a regular basis,Female,50-59,White,S8,53.3400855827506,-1.47767373310023
55,A player or member of club staff,1984 - 1990,A current or former player,Male,50-59,White,LE15,52.6562793083183,-0.702098077757686
56,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who attends games home or away on a regular basis,Male,50-59,White,S9,53.3981479577465,-1.41769494366197
57,A current Sheffield Eagles fan who attends games,2001 - 2010,Someone who attends games home or away on a regular basis,Male,16-25,White,S13,53.364656582343,-1.38369538370119
58,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who attends games home or away on a regular basis,Female,70 or older,White,S8,53.3400855827506,-1.47767373310023
59,A player or member of club staff,,,Male,25-39,White,NG5,52.9973080534789,-1.14433694132918
60,A current Sheffield Eagles fan who attends games,2001 - 2010,Someone who attends games home or away on a regular basis,Male,16-25,White,S13,53.364656582343,-1.38369538370119
61,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1984 - 1990,Someone who occasionally attends home games,Male,40-49,White,S62,53.4654282545156,-1.34783121018062
62,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Male,50-59,White,S13,53.364656582343,-1.38369538370119
63,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,Male,60-69,White,S6,53.4029378722717,-1.51308651010509
